file_name,ai_prediction,human_predicition,IsItMatch
1653344784667_jpg.rf.81c12ec321f78d63353a433d71aaa25e_crop_8.jpg,kombi,suv,False
1653344784667_jpg.rf.81c12ec321f78d63353a433d71aaa25e_crop_10.jpg,sedan,sedan,
1653385021626_jpg.rf.4491947da4292c3f5debe8a575ecdc97_crop_11.jpg,pick-up,pick-up,
1653385021626_jpg.rf.4491947da4292c3f5debe8a575ecdc97_crop_12.jpg,off-roader,off-roader,
1653386015316_jpg.rf.2626963269ac022a582e2699a243e804_crop_2.jpg,kombi,kombi,
1653386015316_jpg.rf.2626963269ac022a582e2699a243e804_crop_3.jpg,van,van,
1653386893969_jpg.rf.7e4a6807b1ff42feb5fee9b37ed4b320_crop_4.jpg,pick,van,
1653386893969_jpg.rf.7e4a6807b1ff42feb5fee9b37ed4b320_crop_5.jpg,kombi,sedan,
1653409133221_jpg.rf.8fe252e700eef3075e23e3991c66c8c1_crop_8.jpg,kabriolet,sedan,
1653410644606_jpg.rf.77e1b7cb3b100cad0d9c95e80187332f_crop_5.jpg,off-roader,pick-up,
1653410644606_jpg.rf.77e1b7cb3b100cad0d9c95e80187332f_crop_6.jpg,kombi,sedan,
1653423495217_jpg.rf.cf73df3161f6cd3c44bcddcf0141a67f_crop_4.jpg,kombi,kombi,
1653752316910_jpg.rf.2d2a3376846989abb97af227e2d6bca2_crop_5.jpg,kombi,pick-up,
1653753253206_jpg.rf.0d12831099402e003d84581d04a79867_crop_4.jpg,pick-up,pick-up,
1653753253206_jpg.rf.0d12831099402e003d84581d04a79867_crop_5.jpg,kombi,pick-up,
1653753592062_jpg.rf.d2107486dccaa3763d2a002dc4819eab_crop_7.jpg,suv,suv,
1653753741520_jpg.rf.c61102c6d599f32226ada1ffe46e6eb5_crop_4.jpg,luxury,suv,
1653755166437_jpg.rf.e5162d3029473d121c5f7767eab9988e_crop_2.jpg,van,van,
1653755695520_jpg.rf.fef14716edb974d8fa9674d07aefb51c_crop_10.jpg,kombi,kombi,
1653755823141_jpg.rf.e719dd6c466262b4f118505a4996d4d2_crop_1.jpg,kombi,sedan,
1653755823141_jpg.rf.e719dd6c466262b4f118505a4996d4d2_crop_2.jpg,kombi,sedan,
1653760094620_jpg.rf.bd65f8b0f4d146d6369114e596b26b75_crop_6.jpg,kabriolet,sedan,
1653762333382_jpg.rf.c4515b08e3958451ef4127d5ff5cf5ef_crop_3.jpg,kombi,pick-up,
1653767077341_jpg.rf.6cb9f63ede9168a4a517c09709108bf1_crop_1.jpg,kabriolet,sedan,
1655168798450_jpg.rf.2986edced32a90b31b08ad0517355da6_crop_1.jpg,van,van,
1655168798450_jpg.rf.2986edced32a90b31b08ad0517355da6_crop_7.jpg,kombi,suv,
1655169495647_jpg.rf.0b50d9ffdcaa4aca4d46fc29c602c39e_crop_3.jpg,kombi,kombi,
1655169495647_jpg.rf.0b50d9ffdcaa4aca4d46fc29c602c39e_crop_7.jpg,kombi,sedan,
1655306162619_jpg.rf.22271c2a565c118cb6e2e7def80d9954_crop_5.jpg,kabriolet,kabriolet,
